k	min_size	max_size	stat	size
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
9	10	10	cov	10
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	8
10	5	10	stdev	7
10	5	10	stdev	7
10	5	10	stdev	5
10	5	10	stdev	8
10	5	10	stdev	8
10	5	10	stdev	9
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	9
10	5	10	stdev	8
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	7
10	5	10	stdev	8
10	5	10	stdev	9
10	5	10	stdev	7
10	5	10	stdev	9
10	5	10	stdev	6
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	6
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	5
10	5	10	stdev	7
10	5	10	stdev	7
10	5	10	stdev	5
10	5	10	stdev	10
10	5	10	stdev	6
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	5
10	5	10	stdev	7
10	5	10	stdev	8
10	5	10	stdev	7
10	5	10	stdev	7
10	5	10	stdev	8
10	5	10	stdev	6
10	5	10	stdev	5
10	5	10	stdev	7
10	5	10	stdev	7
10	5	10	stdev	8
10	5	10	stdev	7
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	8
10	5	10	stdev	8
10	5	10	stdev	5
10	5	10	stdev	6
10	5	10	stdev	5
10	5	10	stdev	10
10	5	10	stdev	5
10	5	10	stdev	7
10	5	10	stdev	5
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	7
10	5	10	stdev	7
10	5	10	stdev	5
10	5	10	stdev	9
10	5	10	stdev	10
10	5	10	stdev	8
10	5	10	stdev	7
10	5	10	stdev	5
10	5	10	stdev	5
10	5	10	stdev	8
10	5	10	stdev	9
10	5	10	stdev	8
10	5	10	stdev	5
10	5	10	stdev	7
10	5	10	stdev	10
10	5	10	stdev	5
10	5	10	stdev	6
10	5	10	stdev	6
10	5	10	stdev	8
10	5	10	stdev	9
10	5	10	stdev	6
10	5	10	stdev	8
10	5	10	stdev	8
10	5	10	stdev	5
10	5	10	stdev	6
10	5	10	stdev	5
10	5	10	stdev	9
10	5	10	stdev	9
10	5	10	stdev	9
10	5	10	stdev	7
10	5	10	stdev	6
10	5	10	stdev	8
10	5	10	stdev	7
10	5	10	stdev	8
10	5	10	stdev	6
10	5	10	stdev	6
10	5	10	stdev	10
10	5	10	stdev	8
10	5	10	stdev	5
10	5	10	stdev	7
10	5	10	stdev	10
10	5	10	stdev	8
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	9
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	5	10	cov	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	stdev	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
10	10	10	cov	10
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	7
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	7
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	stdev	6
2	5	10	stdev	6
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	5
2	5	10	stdev	6
2	5	10	cov	9
2	5	10	cov	9
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	9
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	9
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	9
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	5
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	5	10	cov	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	stdev	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
2	10	10	cov	10
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	6
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	stdev	5
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	9
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	9
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	9
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	5	10	cov	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	stdev	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
3	10	10	cov	10
